company,date,payment_type,study,PI,payment
Allergan Inc.,2016-12-27,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,2500
"Ceterix Orthopaedics, Inc.",2016-12-28,Cash or cash equivalent,Comparative Study of the Ceterix Suture Pattern vs. the FastFix 360 for Meniscus Tears,955960,1251.25
Cook Research Incorporated,2016-12-30,Cash or cash equivalent,NA,NA,4267.51
Cook Research Incorporated,2016-12-30,Cash or cash equivalent,NA,NA,9228
Allergan Inc.,2016-12-31,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,2751.6
Allergan Inc.,2016-12-31,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,662
Allergan Inc.,2016-12-31,Cash or cash equivalent,Safety and Efficacy of Bimatoprost Sustained-Release SR in Patients With Open-Angle Glaucoma or Ocular Hypertension,77076,355.85
Allergan Inc.,2016-12-31,Cash or cash equivalent,Safety and Efficacy of Bimatoprost Sustained-Release SR in Patients With Open-Angle Glaucoma or Ocular Hypertension,77076,372.77
Allergan Inc.,2016-12-31,Cash or cash equivalent,Safety and Efficacy of Bimatoprost Sustained-Release SR in Patients With Open-Angle Glaucoma or Ocular Hypertension,77076,11505.44
Allergan Inc.,2016-12-31,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,62
Allergan Inc.,2016-12-31,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDE",81927,3147.32
AstraZeneca Pharmaceuticals LP,2016-12-31,In-kind items and services,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,82765,15.87
"Siemens Medical Solutions USA, Inc.",2016-12-31,Cash or cash equivalent,UVA2012MR1301Mugler,NA,2e4
Sunovion Pharmaceuticals Inc.,2016-12-31,Cash or cash equivalent,APL-130277,1134319,644.08
Sunovion Pharmaceuticals Inc.,2016-12-31,Cash or cash equivalent,APL-130277,1134319,126.16
Vertex Pharmaceuticals Incorporated,2017-01-01,Cash or cash equivalent,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With Ivacaftor,826949,51763.43
Vertex Pharmaceuticals Incorporated,2017-01-01,Cash or cash equivalent,A Study to Evaluate the Safety and Efficacy of VX-371 in Subjects with Cystic Fibrosis who are Homozygous for the F508del-CFTR Mutation,826949,48172.99
"Roche Diagnostics Operations, Inc.",2017-01-03,Cash or cash equivalent,RD001915,301828,46798.75
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,468.75
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,210.94
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,468.75
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,656.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,656.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,782.82
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,782.82
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,468.75
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,656.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,46.88
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,468.75
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-01-04,Cash or cash equivalent,BIOFLOW-V,601536,337.5
"Genentech, Inc.",2017-01-04,Cash or cash equivalent,CROHN S DISEASE PROGRAM OLE,594186,1116
"Genentech, Inc.",2017-01-04,Cash or cash equivalent,CROHN S DISEASE PROGRAM COHORT 1 INDUCTION COHORT II MAINTENANCE,594186,1116
"Genentech, Inc.",2017-01-04,Cash or cash equivalent,OLE,594186,1116
Kadmon Corporation LLC,2017-01-04,Cash or cash equivalent,Long-Term Treatment and Follow up of Subjects Completing 24 Months of Treatment with Tesevatinib on Study KD019-101 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,13769.38
Kadmon Corporation LLC,2017-01-04,In-kind items and services,A Phase 1b 2a Safety Pharmacokinetic and Dose Escalation Study of KD019 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,3223.89
Kadmon Corporation LLC,2017-01-04,In-kind items and services,A Double blind Randomized Parallel Group Study of the Efficacy and Safety of Tesevatinib in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,10.46
Kadmon Corporation LLC,2017-01-04,Cash or cash equivalent,A Phase 1b 2a Safety Pharmacokinetic and Dose Escalation Study of KD019 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,16027.75
"Biogen, Inc.",2017-01-05,Cash or cash equivalent,Multiple Sclerosis Partners Advancing Technology and Health Solutions (MS PATHS) Demonstration Project,NA,7127.5
"Johnson & Johnson Vision Care, Inc.",2017-01-06,Cash or cash equivalent,1330-GOCR-2845982,NA,52482
Abbott Laboratories,2017-01-10,Cash or cash equivalent,Pivotal Study: A Study of the Evalve Cardiovascular Valve Repair System - Endovascular Valve Edge-to-Edge Repair Study (EVERESTIIRCT),217198,945
Emergent Biosolutions Inc.,2017-01-10,Cash or cash equivalent,RSDL,446242,800
"Genentech, Inc.",2017-01-10,Cash or cash equivalent,OPEN LABEL MAINTENANCE TRIAL GLOBAL,594186,1116
"Regeneron Pharmaceuticals, Inc.",2017-01-12,Cash or cash equivalent,"A RANDOMIZED, DOUBLE-MASKED, ACTIVE-CONTROLLED PHASE 2 STUDY OF THE EFFICACY, SAFETY, AND TOLERABILITY OF REPEATED DOSES OF INTRAVITREAL REGN910-3 IN PATIENTS WITH NEOVASCULAR AGE-RELATED MACULAR DEGENERATION",19168,5e3
"Regeneron Pharmaceuticals, Inc.",2017-01-12,Cash or cash equivalent,"A RANDOMIZED, DOUBLE-MASKED, ACTIVE-CONTROLLED PHASE 2 STUDY OF THE EFFICACY, SAFETY, AND TOLERABILITY OF REPEATED DOSES OF INTRAVITREAL REGN910-3 IN PATIENTS WITH NEOVASCULAR AGE-RELATED MACULAR DEGENERATION",19168,4e3
"Actelion Pharmaceuticals US, Inc.",2017-01-13,Cash or cash equivalent,OPUS - AC-055-503,199176,1200
"Aesculap Biologics, LLC",2017-01-13,Cash or cash equivalent,NOVOCART 3D for the Treatment of Articular Cartilage of the Knee N3D,243965,52261
NOVARTIS PHARMACEUTICALS CORPORATION,2017-01-14,Cash or cash equivalent,A 24 MONTH RANDOMIZED CONTROLLED STUDY TO EVALUATE THE EFFICACY AND SAFETY OF CONCENTRATION CONTROLLED EVEROLIMUS PLUS REDUCED TACROLIMUS COMPARED TO STANDARD TACROLIMUS IN RECIPIENTS OF LIVING DONOR LIVER TRANSPLANTS,19951,11501
Boston Scientific Corporation,2017-01-17,Cash or cash equivalent,ZERO AF,281489,1121.89
Corindus Inc.,2017-01-17,Cash or cash equivalent,Precision Registry,601536,18850
"Genentech, Inc.",2017-01-17,Cash or cash equivalent,INDXN MAIN ETRO PBO,594186,1116
Merck Sharp & Dohme Corporation,2017-01-17,In-kind items and services,"A Multicenter, Randomized, Controlled, Three-Arm, Phase III Study to Evaluate the Safety and Efficacy of Two Dosing Schedules of MK-3475 Compared to Ipilimumab in Patients with Advanced Melanoma",472725,17.86
Pfizer Inc.,2017-01-17,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,25419.4
"Zimmer Biomet Holdings, Inc.",2017-01-17,Cash or cash equivalent,DeNovo NT Stratified Knee Study - 90550,243965,2531.25
"Zimmer Biomet Holdings, Inc.",2017-01-17,Cash or cash equivalent,DeNovo NT Knee LDC Study - 90549,243965,10606.25
Abbott Laboratories,2017-01-18,Cash or cash equivalent,ADVANCE ASO,217198,7377.25
Edwards Lifesciences Corporation,2017-01-18,Cash or cash equivalent,PARTNER3 2015-08,213301,15847
"E.R. Squibb & Sons, L.L.C.",2017-01-18,Cash or cash equivalent,Phase II Sequential Ipi Anti PD 1,157351,57486.82
Gilead Sciences Inc,2017-01-19,Cash or cash equivalent,"RESCUE: A Phase 3b, Multicenter, Open-Label Study to Investigate the Efficacy and Safety of Ledipasvir/Sofosbuvir, With or Without Ribavirin, in HCV Infected Subjects Who Have Failed Prior Treatment With Sofosbuvir-based Therapies",212626,11500
"Janssen Research & Development, LLC",2017-01-19,Cash or cash equivalent,MulticEnter Trial of Rivaroxaban for Early disCharge of pUlmonaRY Embolism From the Emergency Department  (MERCURY PE),1248026,562.5
"Intercept Pharmaceuticals, Inc.",2017-01-20,Cash or cash equivalent,303,62826,12350
AstraZeneca Pharmaceuticals LP,2017-01-22,Cash or cash equivalent,NA,696192,9e4
AstraZeneca Pharmaceuticals LP,2017-01-22,Cash or cash equivalent,CDXT D1840M00058 MPO-MRI Cardiac Fibrosis,696192,9e4
"Lutonix, Inc.",2017-01-23,Cash or cash equivalent,LTX AV,296287,1050
Allergan Inc.,2017-01-24,Cash or cash equivalent,"A MULTICENTER, DOUBLE BLIND, PLACEBO AND ACTIVE-CONTROLLED PARALLEL-GROUP EVALUATION OF THE SAFETY AND EFFICACY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER",81927,6298.5
NOVARTIS PHARMACEUTICALS CORPORATION,2017-01-24,Cash or cash equivalent,A 12 MONTH RANDOMIZED RATER AND DOSE BLINDED STUDY TO COMPARE THE EFFICACY AND SAFETY OF FINGOLIMOD TWENTY FIVE HUNDREDTH OF A MG AND HALF OF A MG ADMINISTERED ORALLY ONCE DAILY WITH GLATIRAMER ACETATE 20 MG ADMINISTERED SUBCUTANEOUSLY ONCE DAILY IN PATIENTS WITH RELAPSING REMITTING MULTIPLE SCLEROSIS,74842,70204.15
"W. L. Gore & Associates, Inc.",2017-01-24,Cash or cash equivalent,GORE Septal Occluder Clinical Study: A Study to evaluate safety and efficacy in the treatment of transcatheter closure of ostium secundum atrial septal defects (ASDs),217198,1562.5
Abbott Laboratories,2017-01-25,Cash or cash equivalent,TactiCath Post Approval Study,281489,937.5
"AbbVie, Inc.",2017-01-25,Cash or cash equivalent,P12-792,826949,527.37
"AbbVie, Inc.",2017-01-25,Cash or cash equivalent,M14-327,594186,2490
SANOFI-AVENTIS U.S. LLC,2017-01-25,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,4080
Sunovion Pharmaceuticals Inc.,2017-01-25,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,3757.7
"AbbVie, Inc.",2017-01-26,Cash or cash equivalent,M14-327,594186,37e3
"AbbVie, Inc.",2017-01-26,Cash or cash equivalent,M16-296,808737,51728.75
"Alexion Pharmaceuticals, Inc.",2017-01-26,Cash or cash equivalent,Atypcial Hemolytic-Uremic Syndrome aHUS Registry,244226,2375
Edwards Lifesciences Corporation,2017-01-27,Cash or cash equivalent,COMPASSION S3 2015-01,217198,62128.3
Eli Lilly and Company,2017-01-27,In-kind items and services,A PHASE 2 MULTICENTER RANDOMIZED PARALLEL-ARM PLACEBO-CONTROLLED STUDY OF LY3074828 IN SUBJECTS WITH ACTIVE CROHNS DISEASE (SERENITY),151740,890.4
SANOFI US SERVICES INC.,2017-01-27,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,11.61
NOVARTIS PHARMACEUTICALS CORPORATION,2017-01-31,Cash or cash equivalent,A RANDOMIZED OPEN LABEL PHASE II STUDY OF WEEKLY GEMCITABINE PLUS PAZOPANIB VERSUS WEEKLY GEMCITABINE ALONE IN THE TREATMENT OF PATIENTS WITH PERSISTENT OR RELAPSED EPITHELIAL OVARIAN FALLOPIAN TUBE OR PRIMARY PERITONEAL CARCINOMA,945020,467398.47
"Zimmer Biomet Holdings, Inc.",2017-01-31,Cash or cash equivalent,Comprehensive Shoulder System with Nano Humeral Component IDE Study,112215,8750
Boston Scientific Corporation,2017-02-01,In-kind items and services,PAS2,945724,900
Edwards Lifesciences Corporation,2017-02-01,Cash or cash equivalent,PARTNER3 2015-08,213301,1950
"Genentech, Inc.",2017-02-01,Cash or cash equivalent,ARIETTA,240459,7184
Astellas Pharma Global Development,2017-02-02,Cash or cash equivalent,Molecular markers to differentiate calcineurin inhibitor toxicity from immunological mechanisms associated with progression to kidney dysfunction in kidney transplant recipients,NA,199500
Novocure Inc.,2017-02-02,Cash or cash equivalent,"EF-14  A Prospective, Multi-Center Trial of NovoTTF-100A Together with Temozolomide Compared to Temozolomide Alone in Patients with newly Diagnosed GBM",279608,9375
"Siemens Medical Solutions USA, Inc.",2017-02-02,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,4606.25
"Siemens Medical Solutions USA, Inc.",2017-02-02,Cash or cash equivalent,Blood collection from emergency department cardiac patient volunteers: Protocol no. MCSA-Multiplatform-201303.PRO,931365,6968.75
Edwards Lifesciences Corporation,2017-02-03,Cash or cash equivalent,PARTNER 2006-06,123007,2e3
Boston Scientific Corporation,2017-02-06,Cash or cash equivalent,S ICD PAS,187930,555
"E.R. Squibb & Sons, L.L.C.",2017-02-07,Cash or cash equivalent,A Phase IIIb IV Safety Trial of Nivolumab BMS 936558 in Subjects with Advanced or Metastatic Non Small Cell Lung Cancer Who Have Progressed During or After Receiving At Least One Prior Systemic Regimen,768804,5313
Abbott Laboratories,2017-02-08,Cash or cash equivalent,SCORE,25612,578.13
"NEUROPACE, INC.",2017-02-08,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,4362.5
"NEUROPACE, INC.",2017-02-08,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,4362.5
Astellas Pharma Global Development,2017-02-09,Cash or cash equivalent,Assessment of Myocardial Flow Reserve (and Effects of Exercise Traiing in Patients with Angina and Negative Coronary Angiograms,203646,8717.01
"Genentech, Inc.",2017-02-09,Cash or cash equivalent,A PHASE III MULTICENTER RANDOMIZED DOUBLE MASKED,19168,13188.75
Pacira Pharmaceuticals Incorporated,2017-02-09,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,187.5
Pacira Pharmaceuticals Incorporated,2017-02-09,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,7500
Pacira Pharmaceuticals Incorporated,2017-02-09,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,5625
Pacira Pharmaceuticals Incorporated,2017-02-09,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,2500
Pacira Pharmaceuticals Incorporated,2017-02-09,Cash or cash equivalent,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,3750
Edwards Lifesciences Corporation,2017-02-10,Cash or cash equivalent,PARTNER3 2015-08,213301,27829.8
"Janssen Research & Development, LLC",2017-02-10,Cash or cash equivalent,MulticEnter Trial of Rivaroxaban for Early disCharge of pUlmonaRY Embolism From the Emergency Department  (MERCURY PE),1248026,887.5
NOVARTIS PHARMACEUTICALS CORPORATION,2017-02-11,Cash or cash equivalent,A MULTICENTER RANDOMIZED DOUBLE BLIND PLACEBO CONTROLLED STUDY OF THE SAFETY TOLERABILITY AND EFFECTS ON ARTERIAL STRUCTURE AND FUNCTION OF ACZ885 IN PATIENTS WITH INTERMITTENT CLAUDICATION,1061444,24234.66
"E.R. Squibb & Sons, L.L.C.",2017-02-13,Cash or cash equivalent,Phase III Adjuvant Melanoma Monotherapy,812566,26663.64
Allergan Inc.,2017-02-14,Cash or cash equivalent,AN OPEN-LABEL LONG-TERM SAFETY STUDY OF VILAZODONE IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER,81927,10022.5
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,281.25
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
BIOTRONIK INC.,2017-02-14,Cash or cash equivalent,BIOFLOW-V,601536,515.63
NOVARTIS PHARMACEUTICALS CORPORATION,2017-02-14,Cash or cash equivalent,A MULTICENTER RANDOMIZED DOUBLE BLIND PARALLEL GROUP ACTIVE CONTROLLED 8 WEEK STUDY TO EVALUATE THE EFFECT OF LCZ696 VERSUS ENALAPRIL ON CHANGES IN NT PROBNP AND SAFETY AND TOLERABILITY OF IN HOSPITAL INITIATION OF LCZ696 COMPARED TO ENALAPRIL IN HFREF PATIENTS HOSPITALIZED FOR ACUTE DECOMPENSATED HEART FAILURE ADHF,199176,108387.55
Pfizer Inc.,2017-02-14,Cash or cash equivalent,A PHASE 2B RANDOMIZED DOUBLEBLIND PLACEBOCONTROLLED STUDY TO EVALUATE THE SAFETY AND EFFICACY OF STAPHYLOCOCCUS AUREUS 4 ANTIGEN VACCINE SA4AG IN ADULTS UNDERGOING ELECTIVE OPEN POSTERIOR SPINAL FUSION PROCEDURES WITH MULTILEVEL INSTRUMENTATION,31776,109730.75
"E.R. Squibb & Sons, L.L.C.",2017-02-16,Cash or cash equivalent,Evaluating Nulojix Long Term Safety in Transplant,696729,1550
Valeant Pharmaceuticals North America LLC,2017-02-16,Cash or cash equivalent,A REGISTRY OF SIPULEUCEL-T THERAPY IN MEN WITH ADVANCED PROSTATE CANCER,211357,1279
"AbbVie, Inc.",2017-02-17,Cash or cash equivalent,M13-740,594186,10145.5
"Genentech, Inc.",2017-02-17,Cash or cash equivalent,APDL1 BLADDER EAP,266016,1250
"Genentech, Inc.",2017-02-17,Cash or cash equivalent,APDL1 BLADDER EAP,266016,4596.6
Sunovion Pharmaceuticals Inc.,2017-02-17,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,150
NOVARTIS PHARMACEUTICALS CORPORATION,2017-02-18,Cash or cash equivalent,PROSPECTIVE COMPARISON OF ANGIOTENSIN RECEPTOR NEPRILYSIN INHIBITOR ARNI VERSUS ACE INHIBITOR TRIAL TO DETERMINE IMPACT ON SERIOUS EVENTS AFTER MYOCARDIAL INFARCTION PARADISE MI,1043167,14914.91
AstraZeneca Pharmaceuticals LP,2017-02-21,Cash or cash equivalent,Affordability and Real world Antiplatelet Treatment Effectiveness After Myocardial Infarction Study Current patterns of P2Y12 receptor inhibitor use provide an excellent opportunity to test the impact of copayment reduction on clinician choice of medication patient adherence and clinical outcomes,1043167,2800
Cook Research Incorporated,2017-02-22,Cash or cash equivalent,Evol Esophageal FC (Benign),648051,75
Edwards Lifesciences Corporation,2017-02-22,Cash or cash equivalent,PARTNER 2006-06,123007,4e3
"E.R. Squibb & Sons, L.L.C.",2017-02-22,Cash or cash equivalent,Evaluation of Acute Rejection Rates in de Novo Renal Transplant Recipients Following Thymoglobulin Induction CNI free Nulojix Belatacept Based Immunosuppression,696729,28145
"NEUROPACE, INC.",2017-02-22,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,8116.54
"NEUROPACE, INC.",2017-02-22,Cash or cash equivalent,RNS System Long-term Treatment Clinical Investigation,164924,8116.54
Sunovion Pharmaceuticals Inc.,2017-02-22,Cash or cash equivalent,LURASIDONE PEDIATRIC BIPOLAR STUDY,81927,68.74
"W. L. Gore & Associates, Inc.",2017-02-22,Cash or cash equivalent,GREAT Global Registry for Endovascular Aortic Treatment,312047,1500
Novo Nordisk AS,2017-02-23,Cash or cash equivalent,NN2211-3659,684755,8450
SANOFI US SERVICES INC.,2017-02-24,In-kind items and services,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,77.57
Pacira Pharmaceuticals Incorporated,2017-02-27,In-kind items and services,"A MULTICENTER, RANDOMIZED, DOUBLE-BLIND, CONTROLLED STUDY OF EXPAREL FOR POSTSURGICAL PAIN MANAGEMENT IN SUBJECTS UNDERGOING OPEN LUMBAR SPINAL FUSION SURGERY",838313,1574.98
Pfizer Inc.,2017-02-27,Cash or cash equivalent,DIFFERENTIAL EFFECTS OF CEE AND ESTRADIOL ON BENIGN AND MALIGNANT BREAST RATIONALE WHY CEEBZA IS MOST EFFECTIVE TSEC,335990,46633
