hero,comic
HUMAN TORCH,FF@ 13
FOREIGNER,FF@ 13
DAREDEVIL,M/TU 73
SPIDER-MAN,M/TU 73
OWL,M/TU 73
DAREDEVIL,DD 162
"GLENN, HEATHER",DD 163
"URICH, BEN",DD 163
IRON MAN,DD 163
DAREDEVIL,DD 163
HULK,DD 163
"JAMESON, J. JONAH",DD 163
"TOWER, BLAKE",DD 163
"NELSON, FRANKLIN FOG",DD 163
"GLENN, HEATHER",DD 166
"POTTER, BETSY BEATTY",DD 166
"NELSON, FRANKLIN FOG",DD 166
"NELSON, DEBBIE HARRI",DD 166
GLADIATOR,DD 166
"NELSON, CANDACE",DD 166
DAREDEVIL,DD 166
"NORRISS, SISTER BARB",DEF 88
NIGHTHAWK II,DEF 88
HULK,DEF 88
DAREDEVIL,DEF 88
HELLCAT,DEF 88
"NORRISS, SISTER BARB",DEF 90
MANDRILL,DEF 90
DR. STRANGE,DEF 90
DAREDEVIL,DEF 90
HULK,DEF 90
NIGHTHAWK II,DEF 90
HELLCAT,DEF 90
"NORRISS, SISTER BARB",DEF 91
HELLCAT,DEF 91
NIGHTHAWK II,DEF 91
HULK,DEF 91
DAREDEVIL,DEF 91
MANDRILL,DEF 91
HYDROMAN,ASM 218
DAREDEVIL,ASM 218
"WHITMAN, DEBRA",ASM 218
"NELSON, FRANKLIN FOG",ASM 218
"ROBERTSON, JOE",ASM 218
"HOPKINS, STEVE",ASM 218
"RIFKIN, BIFF",ASM 218
"JAMESON, J. JONAH",ASM 218
SPIDER-MAN,ASM 218
SANDMAN,ASM 218
GREY GARGOYLE,ASM 219
DAREDEVIL,ASM 219
"HARROW, DR. JONAS",ASM 219
SPIDER-MAN,ASM 219
"PARKER, MAY",ASM 219
"JAMESON, J. JONAH",ASM 219
"GLENN, HEATHER",DD 174
GLADIATOR,DD 174
ELEKTRA,DD 174
KIRIGI,DD 174
KINGPIN,DD 174
DAREDEVIL,DD 174
"POTTER, BETSY BEATTY",DD 174
"NELSON, FRANKLIN FOG",DD 174
ELEKTRA,DD 176
STICK,DD 176
KIRIGI,DD 176
DAREDEVIL,DD 176
TURK,DD 176
"GLENN, HEATHER",DD 176
"NELSON, DEBBIE HARRI",M/FAN 1/2
"GLENN, HEATHER",M/FAN 1/2
DAREDEVIL,M/FAN 1/2
"NELSON, FRANKLIN FOG",M/FAN 1/2
THOR,FF 242
SPIDER-MAN,FF 242
NOVA II,FF 242
TERRAX II,FF 242
"PARKER, MAY",FF 242
INVISIBLE WOMAN,FF 242
"JAMESON, J. JONAH",FF 242
"MASTERS, ALICIA REIS",FF 242
HUMAN TORCH,FF 242
THING,FF 242
DAREDEVIL,FF 242
MR. FANTASTIC,FF 242
"RICHARDS, FRANKLIN B",FF 242
IRON MAN,FF 242
DAREDEVIL,M/CP 136/4
"GLENN, HEATHER",DD 183
DAREDEVIL,DD 183
PUNISHER II,DD 183
TURK,DD 185
"GLENN, HEATHER",DD 185
KINGPIN,DD 185
"NELSON, FRANKLIN FOG",DD 185
DAREDEVIL,DD 185
SPIDER-MAN,M/TU 123
"TEMPLE, CLAIRE",M/TU 123
DAREDEVIL,M/TU 123
SOLARR,M/TU 123
DAREDEVIL,M/FAN 7/2
DAREDEVIL,DD 193
KINGPIN,DD 194
DAREDEVIL,DD 194
"NELSON, FRANKLIN FOG",DD 194
DAREDEVIL,DD 196
KINGPIN,DD 196
WOLVERINE,DD 196
TURK,DD 196
DARK WIND,DD 196
DAREDEVIL,DD 202/2
DAREDEVIL,H2 293
HULK,H2 293
MR. FANTASTIC,H2 293
THING,H2 293
"NELSON, DEBBIE HARRI",DD 214
KINGPIN,DD 214
DAREDEVIL,DD 214
"NELSON, FRANKLIN FOG",DD 214
DAREDEVIL,M/FAN 15/2
DAREDEVIL,DD 215
"NELSON, FRANKLIN FOG",DD 215
JESTER,DD 218
DAREDEVIL,DD 218
"SCARFE, RAFAEL",DD 218
"O'BREEN, GLORIANNA",DD 218
"NELSON, FRANKLIN FOG",DD 218
DAREDEVIL,DD 219
DAREDEVIL,DD 221
"NELSON, FRANKLIN FOG",DD 221
HUMAN TORCH,ASM 267
DAREDEVIL,ASM 267
SPIDER-MAN,ASM 267
HATE-MONGER IV,FF 281
PSYCHO-MAN,FF 281
DAREDEVIL,FF 281
MR. FANTASTIC,FF 281
SHE-HULK,FF 281
HUMAN TORCH,FF 281
"JARVIS, EDWIN",FF 281
INVISIBLE WOMAN,FF 281
LYJA LAZERFIST [SKRU,FF 281
DAREDEVIL,DD 224
SUNTURION II,DD 224
"EISMAN, BETTY",M/SH3 4/2
DAREDEVIL,M/SH3 4/2
"RUIZ, DR. BERNARDO",M/SH3 4/2
KINGPIN,M/SH3 4/2
DAREDEVIL,PPTSS 107
SPIDER-MAN,PPTSS 107
"PARKER, MAY",PPTSS 107
"JAMESON, J. JONAH",PPTSS 107
"TOLLIVER, REV. JACKS",PPTSS 107
SIN-EATER,PPTSS 107
"ROBERTSON, JOE",PPTSS 107
"DEWOLFF, JEAN",PPTSS 107
SPIDER-MAN,PPTSS 108
"JAMESON, J. JONAH",PPTSS 108
"MERCADO, JOY",PPTSS 108
SIN-EATER,PPTSS 108
"JAMESON, MARLA MADIS",PPTSS 108
DAREDEVIL,PPTSS 108
"PARKER, MAY",PPTSS 108
"TOLLIVER, REV. JACKS",PPTSS 108
"ROBERTSON, JOE",PPTSS 108
"NELSON, FRANKLIN FOG",DD 227
KINGPIN,DD 227
"O'BREEN, GLORIANNA",DD 227
"PAGE, KAREN",DD 227
"MANOLIS, LT. NICK",DD 227
"URICH, BEN",DD 227
DAREDEVIL,DD 227
"ROBERTSON, JOE",DD 227
"URICH, BEN",DD 228
DAREDEVIL,DD 228
"O'BREEN, GLORIANNA",DD 228
"JAMESON, J. JONAH",DD 228
"PAGE, KAREN",DD 228
"NELSON, FRANKLIN FOG",DD 228
KINGPIN,DD 228
TURK,DD 229
"URICH, BEN",DD 229
KINGPIN,DD 229
DAREDEVIL,DD 229
"PAGE, KAREN",DD 229
"MANOLIS, LT. NICK",DD 229
"O'BREEN, GLORIANNA",DD 229
"NELSON, FRANKLIN FOG",DD 229
DAREDEVIL,DD 230
"JAMESON, J. JONAH",DD 230
"URICH, DORIS",DD 230
"PAGE, KAREN",DD 230
"O'BREEN, GLORIANNA",DD 230
"NELSON, FRANKLIN FOG",DD 230
"MURDOCK, SISTER MAGG",DD 230
KINGPIN,DD 230
"MANOLIS, LT. NICK",DD 230
GLADIATOR,DD 230
"ROBERTSON, JOE",DD 230
"URICH, BEN",DD 230
SPIDER-MAN,ASM 277
DAREDEVIL,ASM 277
KINGPIN,ASM 277
"WATSON-PARKER, MARY",ASM 277
"URICH, BEN",DD 231
GLADIATOR,DD 231
"NELSON, FRANKLIN FOG",DD 231
"PAGE, KAREN",DD 231
KINGPIN,DD 231
DAREDEVIL,DD 231
"URICH, DORIS",DD 231
KINGPIN,DD 232
"NELSON, FRANKLIN FOG",DD 232
"PAGE, KAREN",DD 232
DAREDEVIL,DD 232
"O'BREEN, GLORIANNA",DD 232
"URICH, BEN",DD 232
DOLLAR BILL,DD 234
MADCAP,DD 234
DAREDEVIL,DD 234
SCHEMER,DD 234
MISTER HYDE,DD 235
"PAGE, KAREN",DD 235
DAREDEVIL,DD 235
DAREDEVIL,DD 240
"PAGE, KAREN",DD 240
DAREDEVIL,M/FAN 31/3
DAREDEVIL,M/CP 81/4
"FISK, VANESSA",M/GN 24
KINGPIN,M/GN 24
TURK,M/GN 24
DAREDEVIL,M/GN 24
"PAGE, KAREN",DD 243
DAREDEVIL,DD 243
"PAGE, KAREN",DD 244
NAMELESS ONE,DD 244
DAREDEVIL,DD 244
DAREDEVIL,DD 246
DAREDEVIL,M/CP 19/4
TURK,M/CP 19/4
RALF,DD 253
KINGPIN,DD 253
DAREDEVIL,DD 253
"PAGE, KAREN",DD 253
DARLA,DD 253
EIGHTBALL,DD 253
"NELSON, FRANKLIN FOG",DD 256
"O'BREEN, GLORIANNA",DD 256
DAREDEVIL,DD 256
"PAGE, KAREN",DD 256
TYPHOID MARY,DD 256
KINGPIN,DD 256
DAREDEVIL,DD 258
RED WOLF III,DD 258
"LINCOLN, WILLIAM WIL",DD 258
IRON MAN IV,DD 258
THOR,M/CP 4/4
DAREDEVIL,M/CP 4/4
TURK,M/CP 5/4
DAREDEVIL,M/CP 5/4
DAREDEVIL,M/SH3 2/3
DAREDEVIL,PWJ 1
KINGPIN,PWJ 1
PUNISHER II,PWJ 1
MICROCHIP,PWJ 1
DAREDEVIL,PWJ 2
PUNISHER II,PWJ 3
DAREDEVIL,PWJ 3
MICROCHIP,PWJ 3
DAREDEVIL,DD 264
OWL,DD 264
MEPHISTO,DD 266
DAREDEVIL,DD 266
DAREDEVIL,DD 277
DAREDEVIL,DD 268
SET,DD@ 5
TYRANNUS,DD@ 5
MAD DOG,DD@ 5
SPIDER-MAN,DD@ 5
DR. STRANGE,DD@ 5
VIPER II,DD@ 5
DAREDEVIL,DD@ 5
DAREDEVIL,DD@ 5/2
EIGHTBALL,DD@ 5/2
"URICH, BEN",DD@ 6
DAREDEVIL,DD@ 6
DAREDEVIL,DD@ 6/3
MERCY,H@ 16
"URICH, BEN",H@ 16
HULK,H@ 16
DAREDEVIL,H@ 16
SCOPE,M/CP 49/3
DAREDEVIL,M/CP 49/3
DAREDEVIL,M/CP 69/3
"ELLINGTON, DR.",M/CP 69/3
DAREDEVIL,M/CP 70/3
"ELLINGTON, DR.",M/CP 70/3
DAREDEVIL,M/CP 71/3
"PINKWATER, ELLA",M/CP 71/3
DAREDEVIL,M/CP 72/3
"PINKWATER, ELLA",M/CP 72/3
KINGPIN,M/CP 91/4
IMPOSSIBLE MAN,M/CP 91/4
DAREDEVIL,M/CP 91/4
WOLVERINE,M/CP 81
DAREDEVIL,M/CP 81
PUNISHER II,DD 293
"HARRIS, CHRISTINE",DD 293
"STRANG, COL.",DD 293
TASKMASTER,DD 293
KINGPIN,DD 293
DAREDEVIL,DD 293
TOMBSTONE,DD 293
"PAGE, KAREN",DD 294
"NELSON, FRANKLIN FOG",DD 294
IZANAMI,DD 294
JONIN,DD 294
"URICH, BEN",DD 294
DAREDEVIL,DD 294
TYPHOID MARY,DD 294
KINGPIN,DD 294
"HARRIS, CHRISTINE",DD 294
"SCOTT, PETER",DD 294
MALTESE,DD 294
"TULLY, DEREK",DD 296
KINGPIN,DD 296
STONE,DD 296
MALTESE,DD 296
"SABINI, JERRY THE WH",DD 296
WING,DD 296
"PAGE, KAREN",DD 296
SPEAR,DD 296
JONIN,DD 296
FLAME,DD 296
STAR,DD 296
DAREDEVIL,DD 296
IZANAMI,DD 296
"SENNET, PAMELA",DD 296
"HARRIS, CHRISTINE",DD 296
DAREDEVIL,M/FAN 60/3
"JAMESON, J. JONAH",DD 300
MALTESE,DD 300
KINGPIN,DD 300
SPIDER-MAN,DD 300
"WATSON-PARKER, MARY",DD 300
DAREDEVIL,DD 300
"MALPHER, KATHY",DD 300
"SABINI, JERRY THE WH",DD 300
OWL,DD 301
"GEDDINGS, JUDITH GHO",DD 301
DAREDEVIL,DD 301
"NELSON, FRANKLIN FOG",DD 301
"URICH, BEN",DD 301
"PAGE, KAREN",DD 302
DAREDEVIL,DD 302
OWL,DD 302
"NELSON, FRANKLIN FOG",DD 303
OWL,DD 303
DAREDEVIL,DD 303
DAREDEVIL,DD 304
TERROR II,DD 305
SPIDER-MAN,DD 305
SURGEON GENERAL,DD 305
DAREDEVIL,DD 305
"PAGE, KAREN",DD 305
"NELSON, FRANKLIN FOG",DD 306
SPIDER-MAN,DD 306
SURGEON GENERAL,DD 306
DAREDEVIL,DD 306
"EPURER, GISCARD",NOM2 6
PUNISHER II,NOM2 6
WORD II,NOM2 6
DAREDEVIL,NOM2 6
SLUG,NOM2 6
NOMAD III,NOM2 6
JONIN,NOM2 6
DAREDEVIL,DD@ 8/2
KINGPIN,DD 333
PEACEKEEPER,DD 333
KING (OF THE SEWER P,DD 333
DAREDEVIL,DD 333
"WATSON, PHILIP",PPTSS 219
SPIDER-MAN,PPTSS 219
DAREDEVIL,PPTSS 219
VULTURE,PPTSS 219
"WATSON-PARKER, MARY",PPTSS 219
OWL,PPTSS 219
"WAGNER, ERNIE WHACK",DD 338
"PAGE, KAREN",DD 338
KINGPIN,DD 338
KRUEL,DD 338
"STITHY, THEODORE",DD 338
DAREDEVIL,DD 338
"GARRETT, JOHN",DD 342
"NELSON, FRANKLIN FOG",DD 342
"URICH, BEN",DD 342
"O'BREEN, GLORIANNA",DD 342
"PAGE, KAREN",DD 342
KINGPIN,DD 342
DAREDEVIL,DD 342
KRUEL,DD 342
DAREDEVIL,DD 343
PUNISHER II,DD 344
HELLSPAWN,DD 344
DAREDEVIL,DD 344
"FURY, NICK L.M.D.",DD 344
LOCKHART,DE:O
"DE LA FONTAINE, CONT",DE:O
DOC SAMSON,DE:O
SCORPIO III,DE:O
"DUGAN, TIMOTHY ALOYI",DE:O
DAREDEVIL,DE:O
GHOST RIDER III,DE:O
PUNISHER II,DE:O
"FURY, NICK L.M.D.",DE:O
SIR,DD 345
"PAGE, KAREN",DD 345
HELLSPAWN,DD 345
"NELSON, FRANKLIN FOG",DD 345
DAREDEVIL,DD 345
"PAGE, KAREN",DD 346
SIR,DD 346
"URICH, BEN",DD 346
DAREDEVIL,DD 346
"NELSON, FRANKLIN FOG",DD 346
DAREDEVIL,DD 347
"PAGE, KAREN",DD 347
SIR,DD 347
"NELSON, FRANKLIN FOG",DD 347
SIR,DD 348
DAREDEVIL,DD 348
"PAGE, KAREN",DD 348
"MURDOCK, SISTER MAGG",DD 348
"NELSON, FRANKLIN FOG",DD 348
DAREDEVIL,DD 349
STICK,DD 349
"PAGE, KAREN",DD 349
"NELSON, FRANKLIN FOG",DD 349
"MURDOCK, SISTER MAGG",DD 349
TYPHOID MARY,DD 350
"PAGE, KAREN",DD 350
"LOPEZ, DONNA",DD 350
STICK,DD 350
DAREDEVIL,DD 350
"URICH, BEN",OE 1
MR. FEAR III,OE 1
DAREDEVIL,OE 1
DAREDEVIL,DD 352
MASTERMIND IV,DD 352
"NELSON, FRANKLIN FOG",DD 352
"PAGE, KAREN",DD 353
MISTER HYDE,DD 353
DAREDEVIL,DD 353
"NELSON, FRANKLIN FOG",DD 353
"KNIGHT, MISTY",DD 353
"LANE, LOIS",DD 353
"SHARPE, ROSALINDE",DD 353
"SHARPE, ROSALINDE",V:OT 1
MASTER MOLD II,V:OT 1
DAREDEVIL,V:OT 1
VENOM,V:OT 1
"PAGE, KAREN",DD 355
"SHARPE, ROSALINDE",DD 355
"OSBORN, LIZ ALLAN",DD 355
"NELSON, FRANKLIN FOG",DD 355
DAREDEVIL,DD 355
PYRO,DD 355
MISTER HYDE,DD 355
MONTANA,DD 357
"SHARPE, ROSALINDE",DD 357
"PAGE, KAREN",DD 357
"KNIGHT, MISTY",DD 357
DAREDEVIL,DD 357
"NELSON, FRANKLIN FOG",DD 357
MISTER HYDE,DD 357
HAMMER II,DD 357
EEL II,DD 357
OX III,DD 357
FANCY DAN,DD 357
DAREDEVIL,DD 358
"JARVIS, EDWIN",DD 358
"SHARPE, ROSALINDE",DD 358
"PAGE, KAREN",DD 358
"NELSON, FRANKLIN FOG",DD 358
"OSBORN, LIZ ALLAN",DD 358
DAREDEVIL,S&L 1/4
PUPPET MASTER,SS3 128
"MASTERS, ALICIA REIS",SS3 128
SPIDER-MAN,SS3 128
SILVER SURFER,SS3 128
DAREDEVIL,SS3 128
"ROSE, JUSTICE",SS3 128
PUPPET MASTER,SS3 129
SORRENTINO,SS3 129
GALACTUS,SS3 129
SILVER SURFER,SS3 129
DAREDEVIL,SS3 129
"MASTERS, ALICIA REIS",SS3 129
SPIDER-MAN,SS3 129
DAREDEVIL,M/VS 1/2
"PAGE, KAREN",M/VS 1/2
DAREDEVIL,DD 362
"GRIPPO, BILLY",DD 362
"OSBORN, LIZ ALLAN",DD 362
"PAGE, KAREN",DD 362
DEUCE,DD 362
"OSBORN, NORMIE",DD 362
"SHARPE, ROSALINDE",DD 362
"NELSON, FRANKLIN FOG",DD 362
MR. FEAR III,DD 366
"GRAZIA, VINCENT VINN",DD 366
DEUCE,DD 366
"OSBORN, LIZ ALLAN",DD 366
DAREDEVIL,DD 366
"PAGE, KAREN",DD 366
"NELSON, FRANKLIN FOG",DD 366
GLADIATOR,DD 366
"GRAZIA, VINCENT VINN",DD 367
GLADIATOR,DD 367
"MALPHER, KATHY",DD 367
MR. FEAR III,DD 367
"PAGE, KAREN",DD 367
DAREDEVIL,DD 367
DEUCE,DD '97
"NELSON, FRANKLIN FOG",DD '97
DEADPOOL,DD '97
WEASEL,DD '97
DAREDEVIL,DD '97
TYPHOID MARY,DD '97
"SHARPE, ROSALINDE",DD '97
THANOS,KZ4 8
KA-ZAR,KZ4 8
PLUNDERER,KZ4 8
ZABU,KZ4 8
SHANNA,KZ4 8
DAREDEVIL,KZ4 8
DAREDEVIL,DD2 6
"PAGE, KAREN",DD2 6
GABRIEL III,DD2 6
TURK,DD2 6
MYSTERIO,DD2 6
KINGPIN,DD2 6
DAREDEVIL,DD 376
KINGPIN,DD 376
"DUBOIS, DR. CLAUDIA",DD 376
"SENYAKA, TIA",DD 379
KINGPIN,DD 379
"DUBOIS, DR. CLAUDIA",DD 379
DAREDEVIL,DD 379
"NELSON, FRANKLIN FOG",DD 379
SYNAPSE,DD 379
"SHARPE, ROSALINDE",DD2 1
"NELSON, FRANKLIN FOG",DD2 1
GABRIEL III,DD2 1
MYSTERIO,DD2 1
DAREDEVIL,DD2 1
"MCKENZIE, LYDIA",DD2 1
"GILMORE, BERT",ASM 438
SYNARIO,ASM 438
DAREDEVIL,ASM 438
"SHARPE, ROSALINDE",ASM 438
"JAMESON, J. JONAH",ASM 438
"NELSON, FRANKLIN FOG",ASM 438
SPIDER-MAN,ASM 438
DAREDEVIL,NHAWK 1
NIGHTHAWK II,NHAWK 1
"HILDEBRANT, DR.",NHAWK 1
"THOMAS, BECKY",NHAWK 1
MEPHISTO,NHAWK 1
MEPHISTO,NHAWK 2
DAREDEVIL,NHAWK 2
NIGHTHAWK II,NHAWK 2
DAREDEVIL,NHAWK 3
NIGHTHAWK II,NHAWK 3
MEPHISTO,NHAWK 3
WONG,DD2 5
DAREDEVIL,DD2 5
MEPHISTO,DD2 5
"MURDOCK, SISTER MAGG",DD2 5
"PAGE, KAREN",DD2 5
DR. STRANGE,DD2 5
GABRIEL III,DD2 7
KINGPIN,DD2 7
MYSTERIO,DD2 7
DAREDEVIL,DD2 7
DAREDEVIL,DD:Y
"NELSON, FRANKLIN FOG",DD2 10
DAREDEVIL,DD2 10
KINGPIN,DD2 10
ECHO,DD2 10
DAREDEVIL,DD2 11
"NELSON, FRANKLIN FOG",DD2 11
ECHO,DD2 11
DAREDEVIL,DD2 13
"SHARPE, ROSALINDE",DD2 13
"NELSON, FRANKLIN FOG",DD2 13
ECHO,DD2 13
KINGPIN,DD2 13
DAREDEVIL,DD2 19
"JAMESON, J. JONAH",DD2 19
"URICH, BEN",DD2 19
"URICH, DORIS",DD2 19
"LANG, TIMMY",DD2 19
LEAP FROG,DD2 19
"LANG, ALLISON",DD2 18
"NELSON, FRANKLIN FOG",DD2 18
"LANG, TIMMY",DD2 18
KINGPIN,DD2 18
"URICH, BEN",DD2 18
DAREDEVIL,DD2 18
DAREDEVIL,PUN5 3
"SOAP, DET.",PUN5 3
PUNISHER II,PUN5 3
HOLY,PUN5 3
DAREDEVIL,DD:N 1
JACK O'LANTERN II,SM:MM 1
MYSTERIO II,SM:MM 1
MAGUIRE,SM:MM 1
"JAMESON, J. JONAH",SM:MM 1
SCHEMER,SM:MM 1
SPIDER-MAN,SM:MM 1
"ROBERTSON, RANDY",SM:MM 1
"SMITH, JOE",SM:MM 1
DAREDEVIL,SM:MM 1
MAGUIRE,SM:MM 2
DAREDEVIL,SM:MM 2
JACK O'LANTERN II,SM:MM 2
SCHEMER,SM:MM 2
SPIDER-MAN,SM:MM 2
MYSTERIO II,SM:MM 2
"JAMESON, J. JONAH",SM:MM 2
"SMITH, JOE",SM:MM 2
SCHEMER,SM:MM 3
"JAMESON, J. JONAH",SM:MM 3
SPIDER-MAN,SM:MM 3
JACK O'LANTERN II,SM:MM 3
MYSTERIO,SM:MM 3
"SMITH, JOE",SM:MM 3
MAGUIRE,SM:MM 3
MYSTERIO II,SM:MM 3
DAREDEVIL,SM:MM 3
"STEVENS, MILO",IM3 38
"TILBY, TRISH",IM3 38
"HOGAN, VIRGINIA PEPP",IM3 38
"STONE, TIBERIUS",IM3 38
"HOGAN, HAROLD J. HAP",IM3 38
"DONOHUE, TREVOR",IM3 38
RADIOACTIVE MAN,IM3 38
DAREDEVIL,IM3 38
IRON MAN,IM3 38
"FUJIKAWA, RUMIKO",IM3 38
X-MAN,XM -1
DARK BEAST,XM -1
MR. SINISTER | AOA,XM -1
HOLOCAUST,XM 44
DARK BEAST,XM 44
"SUMMERS, MADELYNE MA",XM 44
X-MAN,XM 44
WITNESS,XM 44
"SCANLON, COMMANDER",XM 44
VISE,XM 44
UNI-LORD,SS3 119
HRILL,SS3 119
UNIT 101101,SS3 119
DARK COUNSEL,SS3 119
SILVER SURFER,SS3 119
UR-LINI,SS3 119
IZZIFIZZ,SS3 119
HUNKIR,SS3 119
OUTRIDER,SS3 119
QIRMET,SS3 119
VYREK,SS3 119
PRADDA FOL,SS3 119
SZARKUS,SS3 119
"RICHARDS, FRANKLIN B",DAYD 1
DARK HUNTER,DAYD 1
HOWARD THE DUCK,DAYD 1
"MADDICKS, ARTHUR ART",DAYD 1
TANA NILE,DAYD 1
LEECH,DAYD 1
MAN-THING,DAYD 1
TANA NILE,DAYD 2
MAN-THING,DAYD 2
LEECH,DAYD 2
HOWARD THE DUCK,DAYD 2
"RICHARDS, FRANKLIN B",DAYD 2
DARK HUNTER,DAYD 2
"MADDICKS, ARTHUR ART",DAYD 2
MAN-THING,DAYD 3
"RICHARDS, FRANKLIN B",DAYD 3
DARK HUNTER,DAYD 3
HOWARD THE DUCK,DAYD 3
LEECH,DAYD 3
"MADDICKS, ARTHUR ART",DAYD 3
TANA NILE,DAYD 3
YOVA,SK 5
STARSHINE III,SK 5
STARSHINE II,SK 5
PULSAR II,SK 5
LIBERATOR,SK 5
FIREFALL IV,SK 5
VANIUM,SK 5
TERMINATOR II,SK 5
SENTRY IV,SK 5
JAVELIN II,SK 5
HAMMERHAND II,SK 5
LORD GASPAR,SK 5
SCANNER II,SK 5
DARK MASTER,SK 5
DARK MOTHER,C2 88
STORM,C2 88
"MERRYWEATHER, IRENE",C2 88
NIGHTCRAWLER,C2 88
"SUMMERS, NATHAN CHRI",C2 88
"POWELL, JASON",DHAWK@ 1/4
"POWELL, GRACE",DHAWK@ 1/4
"POWELL, JONATHAN",DHAWK@ 1/4
DARKHAWK,DHAWK@ 1/4
"POWELL, OFFICER MIKE",DHAWK@ 1/4
"MCPHEE, LOUIE",DHAWK 4
"POWELL, GRACE",DHAWK 4
DARKHAWK,DHAWK 4
SAVAGE STEEL,DHAWK 4
"POWELL, JONATHAN",DHAWK 4
"ZAFAR, OFFICER JIMMY",DHAWK 4
"POWELL, JASON",DHAWK 4
"JONES, BART",NW 14
SEA URCHIN,NW 14
NAMORITA,NW 14
SPEEDBALL,NW 14
DARKHAWK,NW 14
JUSTICE II,NW 14
NIGHT THRASHER,NW 14
FIRESTAR,NW 14
NOVA,NW 14
SUB-MARINER,NW 14
"SHAUNEGHANN, MICHAEL",NW 14
SILHOUETTE,NW 14
DEATHLOK III,SLEEP 7
DARKHAWK,SLEEP 7
"SHERIDAN, RICHARD RI",SLEEP 7
HYPERION,SLEEP 7
RAMBO,SLEEP 7
KISMET,SLEEP 7
MISSING LINK II,SLEEP 7
MASTER LINK,SLEEP 7
DR. STRANGE,SLEEP 7
"SHERIDAN, WILLIAM",SLEEP 7
UPLINK,SLEEP 7
WEAK LINK,SLEEP 7
DR. SPECTRUM,SLEEP 7
MOON KNIGHT,SLEEP 7
SLEEPWALKER,SLEEP 7
"SHERIDAN, FLORENCE",SLEEP 7
THUNDERBALL,ASM 353
MIDNIGHT III,ASM 353
"PARKER, MAY",ASM 353
SPIDER-MAN,ASM 353
DARKHAWK,ASM 353
"ZAFAR, OFFICER JIMMY",ASM 353
PUNISHER II,ASM 353
"WATSON-PARKER, MARY",ASM 353
"MCPHEE, LOUIE",DHAWK 13
TOMBSTONE,DHAWK 13
"POWELL, JONATHAN",DHAWK 13
"POWELL, GRACE",DHAWK 13
SAVAGE STEEL,DHAWK 13
VENOM,DHAWK 13
DARKHAWK,DHAWK 13
SAVAGE STEEL,DHAWK 15
DARKHAWK,DHAWK 15
TOMBSTONE,DHAWK 15
"POWELL, GRACE",DHAWK 15
"POWELL, JASON",DHAWK 15
"POWELL, JONATHAN",DHAWK 15
LODESTONE,DHAWK 15
"POWELL, OFFICER MIKE",DHAWK 15
MADAME ROSE,DHAWK 15
DARKHAWK,DHAWK 18
SIBERION,DHAWK 18
PSI-WOLF,DHAWK 18
SCATTERSHOT,DHAWK 18
VOLGA BELLE,DHAWK 18
"POWELL, GRACE",DHAWK 18
"VONYA, DR. ANATOLY",DHAWK 18
USAGENT,DHAWK@ 1
SAVAGE STEEL II,DHAWK@ 1
WONDER MAN,DHAWK@ 1
SPIDER-WOMAN II,DHAWK@ 1
LIVING LIGHTNING,DHAWK@ 1
DARKHAWK,DHAWK@ 1
SCARLET WITCH,DHAWK@ 1
IRON MAN IV,DHAWK@ 1
IRON MAN,DHAWK@ 1
IRON MAN IV,AWC@ 7
PROFESSOR POWER,AWC@ 7
DARKHAWK,AWC@ 7
WONDER MAN,AWC@ 7
HAWK,AWC@ 7
SPIDER-WOMAN II,AWC@ 7
SCARLET WITCH,AWC@ 7
LIVING LIGHTNING,AWC@ 7
USAGENT,AWC@ 7
HAWK,IM@ 13
IRON MAN IV,IM@ 13
DARKHAWK,IM@ 13
WONDER MAN,IM@ 13
IRON MAN,IM@ 13
"DEWITT, KEARSON",IM@ 13
SCARLET WITCH,IM@ 13
USAGENT,IM@ 13
SPIDER-WOMAN II,IM@ 13
LIVING LIGHTNING,IM@ 13
DARKHAWK,DHAWK@ 1/2
"RUBINO, STEVE HEADSE",DHAWK@ 1/3
DARKHAWK,DHAWK@ 1/3
DARKHAWK,DHAWK 22
"POWELL, JONATHAN",DHAWK 22
GHOST RIDER III,DHAWK 22
"MARLEY, MITCH MADMAN",DHAWK 22
"FIELDS, TRACI",DHAWK 22
DARKHAWK,ASM:F&E 1
FLYNN,ASM:F&E 1
NOVA,ASM:F&E 1
SPEEDBALL II,ASM:F&E 1
SPIDER-MAN,ASM:F&E 1
INVISIBLE WOMAN,FF 193
"WINGFOOT, WYATT",FF 193
"HARKNESS, AGATHA",FF 193
"RICHARDS, FRANKLIN B",FF 193
"MASTERS, ALICIA REIS",FF 193
MR. FANTASTIC,FF 193
HUMAN TORCH,FF 193
THING,FF 193
DIABLO,FF 193
DR. DOOM CLONE,FF 193
IMPOSSIBLE MAN,FF 193
DARKOTH,FF 193
"RICHARDS, FRANKLIN B",FF 142
THING,FF 142
DR. DOOM,FF 142
INVISIBLE WOMAN,FF 142
MR. FANTASTIC,FF 142
"MASTERS, ALICIA REIS",FF 142
"WINGFOOT, WYATT",FF 142
MEDUSA,FF 142
HUMAN TORCH,FF 142
DARKOTH,FF 142
INVISIBLE WOMAN,FF 143
DARKOTH,FF 143
"RICHARDS, FRANKLIN B",FF 143
MEDUSA,FF 143
MR. FANTASTIC,FF 143
HUMAN TORCH,FF 143
DR. DOOM,FF 143
"MASTERS, ALICIA REIS",FF 143
"WINGFOOT, WYATT",FF 143
THING,FF 143
"WINGFOOT, WYATT",FF 144
